,CH,CU,FC,FF,FT,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,0,1,0,0,1,1,0,0,0,1,0,2,7,45,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,87.4,7.0,0.2646,0.8321,-0.3461,1.922
1,0,0,0,0,1,0,1,3,2,0,0,1,1,7,44,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,90.2,4.0,1.5231,0.4074,-0.2971,2.14
2,0,0,0,0,1,0,1,2,2,0,0,1,1,7,44,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,89.2,11.0,1.2479,0.8348,-1.2608,3.3707
3,0,0,1,0,0,0,1,2,1,0,0,1,1,7,44,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,86.2,5.0,0.1714,0.5673,-0.1562,2.1577
4,1,0,0,0,0,0,1,1,1,0,0,1,1,7,44,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82.5,14.0,1.408,0.7347,1.0121,1.762
5,0,0,0,1,0,0,1,1,0,0,0,1,1,7,44,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,90.1,2.0,0.7344,1.3683,0.2723,3.1946
6,0,0,0,0,1,0,1,0,0,0,0,1,1,7,44,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,89.3,12.0,0.8898,1.1958,0.1264,4.1443
7,0,1,0,0,0,0,1,1,2,0,0,0,1,7,43,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,76.8,8.0,-0.2016,-0.6442,-0.1085,2.1352
8,0,0,0,0,1,0,1,1,2,0,0,0,1,7,43,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,88.6,4.0,1.2226,0.5429,-0.4899,2.3075
9,0,0,1,0,0,0,1,1,1,0,0,0,1,7,43,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,89.0,1.0,0.6146,1.1099,-0.3969,3.213
10,1,0,0,0,0,0,1,1,0,0,0,0,1,7,43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,81.4,9.0,1.3068,0.7366,0.521,1.7911
11,0,0,1,0,0,0,1,0,0,0,0,0,1,7,43,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,88.4,12.0,0.79,1.0107,1.1358,2.7896
12,0,0,1,0,0,1,1,0,0,0,0,0,0,7,42,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,85.7,5.0,0.1009,0.8097,-0.0988,2.3488
13,0,0,1,0,0,0,1,3,2,0,0,0,2,6,37,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91.1,6.0,0.6466,1.2458,0.3889,2.302
14,0,0,0,1,0,0,1,2,2,0,0,0,2,6,37,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,89.4,12.0,0.5193,1.3412,0.3794,4.6602
15,1,0,0,0,0,0,1,1,2,0,0,0,2,6,37,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83.8,13.0,1.254,0.4133,-0.459,-0.1561
16,0,0,0,0,1,0,1,1,2,0,0,0,2,6,37,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,89.8,4.0,1.4138,0.7249,-0.6174,2.4998
17,0,0,0,1,0,0,1,1,1,0,0,0,2,6,37,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,90.7,8.0,0.6884,1.343,-0.1514,1.8679
18,0,0,0,1,0,0,1,1,0,0,0,0,2,6,37,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,90.4,3.0,0.5675,1.3319,0.3909,3.3109
19,1,0,0,0,0,0,1,0,0,0,0,0,2,6,37,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82.8,14.0,1.4331,0.5489,0.2846,1.475
20,0,0,0,1,0,0,1,2,2,0,0,0,1,6,36,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,91.0,11.0,0.4461,1.2828,-1.211,2.7547
21,0,0,0,1,0,0,1,1,2,0,0,0,1,6,36,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,91.2,12.0,0.5135,1.2489,0.8076,4.2583
22,1,0,0,0,0,0,1,0,2,0,0,0,1,6,36,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,83.1,12.0,1.1496,0.441,2.2377,2.8146
23,1,0,0,0,0,0,1,0,1,0,0,0,1,6,36,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,82.7,3.0,1.2357,0.6188,0.3196,3.1737
24,0,0,0,1,0,0,1,0,0,0,0,0,1,6,36,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,90.0,3.0,0.6789,1.051,0.7393,3.4892
25,0,1,0,0,0,0,1,1,2,0,0,0,0,6,35,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,77.3,7.0,-0.7472,-1.1418,-0.614,1.875
26,0,1,0,0,0,0,1,1,2,0,0,0,0,6,35,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,77.6,13.0,-0.6343,-1.028,-0.7779,0.6037
27,1,0,0,0,0,0,1,1,2,0,0,0,0,6,35,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,83.1,13.0,1.2471,0.5859,-0.5304,1.0852
28,0,0,0,1,0,0,1,1,2,0,0,0,0,6,35,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,89.4,11.0,0.7846,1.4085,-1.1302,2.8358
29,1,0,0,0,0,0,1,1,2,0,0,0,0,6,35,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,82.0,14.0,1.2914,0.6587,0.1604,0.672
30,1,0,0,0,0,0,1,1,1,0,0,0,0,6,35,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,82.3,14.0,1.2862,0.7782,0.9628,1.3949
31,0,0,0,1,0,0,1,1,0,0,0,0,0,6,35,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,90.1,2.0,0.783,1.148,0.257,3.1259
32,0,1,0,0,0,0,1,0,0,0,0,0,0,6,35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,74.2,12.0,-0.7844,-0.6847,1.6965,4.7768
33,0,0,0,0,1,1,1,1,2,0,0,0,2,5,29,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90.8,6.0,1.4733,0.7148,0.2771,2.1385
34,0,0,0,1,0,1,1,1,1,0,0,0,2,5,29,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.0,5.0,0.7373,1.356,-0.0241,2.3397
35,0,0,1,0,0,1,1,0,1,0,0,0,2,5,29,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87.7,13.0,0.3909,1.1286,-0.6123,0.3313
36,0,0,0,1,0,1,1,0,0,0,0,0,2,5,29,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.8,6.0,0.9037,1.1694,0.6493,2.7806
37,0,0,0,1,0,0,1,1,1,0,0,0,2,5,28,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91.0,5.0,0.7484,1.533,0.0294,2.7931
38,0,0,0,1,0,0,1,1,0,0,0,0,2,5,28,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91.9,8.0,0.8014,1.5319,-0.0683,1.5467
39,0,0,0,1,0,0,1,0,0,0,0,0,2,5,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.0,13.0,0.9791,1.4994,-0.0467,1.4449
