,CH,CU,FC,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,0,0,1,0,1,0,3,2,0,0,1,2,7,54,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95.7,13.0,-1.1014,1.3455,-0.411,1.2943
1,0,0,0,1,0,1,0,2,2,0,0,1,2,7,54,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96.0,3.0,-1.1209,1.0926,0.8031,2.784
2,0,0,0,1,0,1,0,2,1,0,0,1,2,7,54,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,95.9,4.0,-1.114,1.0686,-0.5962,2.3
3,0,0,0,1,0,1,0,2,0,0,0,1,2,7,54,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95.1,5.0,-1.1656,1.0298,0.1353,2.5829
4,1,0,0,0,0,1,0,1,0,0,0,1,2,7,54,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83.0,11.0,-1.2884,0.2345,-1.6222,2.9161
5,0,0,0,1,0,1,0,0,0,0,0,1,2,7,54,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.9,11.0,-1.1504,1.2074,-1.848,3.4881
6,0,1,0,0,0,1,0,0,0,0,0,0,2,7,53,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,79.0,14.0,1.2529,-0.2178,1.9407,0.3476
7,0,0,0,1,0,0,0,0,2,0,0,0,1,7,52,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96.5,6.0,-1.2719,1.3635,0.4972,2.7516
8,0,0,0,0,1,0,0,0,1,0,0,0,1,7,52,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85.6,9.0,0.2753,0.0997,0.8021,1.4906
9,0,0,0,0,1,0,0,0,0,0,0,0,1,7,52,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,85.5,5.0,0.3367,0.2752,0.0866,2.4099
10,0,0,0,1,0,0,0,1,1,0,0,0,0,7,51,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,94.4,5.0,-1.3123,1.2645,0.2625,2.2369
11,0,0,0,1,0,0,0,0,1,0,0,0,0,7,51,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.8,12.0,-1.0214,1.3581,1.1985,2.3847
