,CH,CU,FC,FF,FT,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_FT,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,0,0,0,1,0,1,2,2,0,0,0,2,7,57,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,84.5,13.0,0.867825,1.1875666666666664,-0.087,1.425
1,1,0,0,0,0,0,1,2,1,0,0,0,2,7,57,4,5,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,89.3,7.0,0.5616583333333331,1.1288,-0.45,2.103
2,0,0,1,0,0,0,1,2,0,0,0,0,2,7,57,3,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,79.7,13.0,-0.4570416666666666,-0.42636666666666656,-1.329,0.988
3,0,1,0,0,0,0,1,1,0,0,0,0,2,7,57,2,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,80.9,11.0,-0.267775,-0.058,-0.146,3.765
4,0,1,0,0,0,0,1,0,0,0,0,0,2,7,57,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,1,0,0,1,2,2,0,0,0,1,7,56,5,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,94.4,7.0,1.2895,1.5473333333333332,-0.435,2.264
6,0,0,0,0,1,0,1,2,1,0,0,0,1,7,56,4,5,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,93.8,14.0,1.048741666666667,1.8540666666666668,1.341,2.005
7,0,0,0,1,0,0,1,1,1,0,0,0,1,7,56,3,5,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,84.3,14.0,1.118325,1.2449,0.855,1.213
8,1,0,0,0,0,0,1,0,1,0,0,0,1,7,56,2,5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,92.9,8.0,0.959675,1.8010333333333333,-0.105,2.251
9,0,0,0,1,0,0,1,0,0,0,0,0,1,7,56,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0,0,1,0,0,1,3,2,0,0,0,0,7,55,6,5,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,94.2,12.0,1.1392,1.6978333333333333,0.912,2.507
11,0,0,0,1,0,0,1,3,1,0,0,0,0,7,55,5,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,79.0,13.0,-0.1327833333333333,-0.3547,-1.453,0.652
12,0,1,0,0,0,0,1,2,1,0,0,0,0,7,55,4,5,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,92.8,14.0,1.3117666666666667,1.7437,1.557,2.069
13,0,0,0,0,1,0,1,1,1,0,0,0,0,7,55,3,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,84.6,4.0,1.3173333333333332,1.1001333333333332,-0.394,2.283
