,CH,CU,FC,FF,SL,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,0,0,1,0,543329,0,0,2,2,1,0,1,2,5,46,6,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,86.5,9.0,0.2694083333333333,0.44366666666666654,0.588,2.028
1,0,0,0,0,1,543329,0,0,2,2,1,0,1,2,5,46,5,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83.7,14.0,0.141375,0.2917333333333333,0.149,0.123
2,0,0,0,0,1,543329,0,0,1,2,1,0,1,2,5,46,4,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,84.7,14.0,-0.04928333333333332,0.4952666666666666,1.699,0.948
3,0,0,0,0,1,543329,0,0,0,2,1,0,1,2,5,46,3,5,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94.8,12.0,-0.7743416666666666,1.3423666666666667,0.926,2.718
4,0,0,0,1,0,543329,0,0,0,1,1,0,1,2,5,46,2,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,86.7,14.0,-0.13835,0.2802666666666666,0.8340000000000001,1.94
5,0,0,0,0,1,543329,0,0,0,0,1,0,1,2,5,46,1,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,84.6,14.0,0.0871,0.5038666666666666,1.029,0.75
6,0,0,0,0,1,489305,0,0,0,2,1,0,1,1,5,45,3,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,86.6,14.0,-0.1160833333333333,0.4365,1.328,1.595
7,0,0,0,0,1,489305,0,0,0,1,1,0,1,1,5,45,2,5,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,85.1,3.0,0.09545,0.6371666666666665,0.29100000000000004,3.013
8,0,0,0,0,1,489305,0,0,0,0,1,0,1,1,5,45,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.8,5.0,-1.0540666666666665,0.1541333333333333,0.224,2.77
9,1,0,0,0,0,592885,1,0,0,1,0,0,1,1,5,43,2,4,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.8,11.0,-0.919075,1.3094,-1.055,2.69
10,0,0,0,1,0,592885,1,0,0,0,0,0,1,1,5,43,1,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96.0,8.0,-1.201583333333333,1.3251666666666668,0.046,1.842
11,0,0,0,1,0,518618,1,0,2,2,0,0,0,1,5,42,5,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.3,11.0,0.8956583333333333,-0.4378333333333333,-2.176,2.9930000000000003
12,0,1,0,0,0,518618,1,0,1,2,0,0,0,1,5,42,4,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95.4,8.0,-0.8592333333333331,1.267833333333333,0.07,1.388
