,CH,CU,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
0,0,0,1,0,1,0,1,2,0,0,0,2,7,52,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,81.3,14.0,0.20539166666666664,-0.40486666666666654,0.136,1.003
1,0,1,0,0,1,0,1,1,0,0,0,2,7,52,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,94.5,12.0,-1.3393583333333332,1.7881333333333331,1.288,3.58
2,0,0,1,0,1,0,0,1,0,0,0,2,7,52,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.7,8.0,0.23044166666666666,-0.4693666666666666,0.187,1.909
3,0,1,0,0,1,0,0,0,0,0,0,2,7,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,1,0,0,1,2,0,0,0,1,7,51,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,81.6,14.0,0.2888916666666666,-0.7015666666666666,1.044,1.811
5,0,1,0,0,0,0,1,2,0,0,0,1,7,51,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.9,14.0,-0.960825,1.7451333333333332,1.118,2.67
6,0,0,1,0,0,0,1,1,0,0,0,1,7,51,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,89.7,9.0,-0.4946166666666666,1.0098333333333331,0.351,1.777
7,0,0,0,1,0,0,1,0,0,0,0,1,7,51,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,90.1,14.0,-0.3805,1.0514,0.177,1.458
8,0,0,0,1,0,0,0,0,0,0,0,1,7,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,1,0,0,1,0,2,2,0,0,0,0,7,50,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,81.8,2.0,0.3946583333333333,-0.7603333333333331,-0.2,3.291
10,0,1,0,0,1,0,2,2,0,0,0,0,7,50,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.9,2.0,-1.34075,1.4083,-0.145,3.624
11,0,0,1,0,1,0,2,2,0,0,0,0,7,50,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,95.3,12.0,-1.0554583333333332,1.4986,0.391,4.835
12,0,0,1,0,1,0,1,2,0,0,0,0,7,50,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,94.0,5.0,-1.503575,1.6548333333333332,0.135,2.267
13,0,0,1,0,1,0,1,1,0,0,0,0,7,50,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,92.6,11.0,-1.0791166666666665,1.6276,-0.41,4.315
14,0,0,1,0,1,0,0,1,0,0,0,0,7,50,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92.3,4.0,-1.3838916666666667,1.5129333333333332,-0.775,2.42
15,0,0,1,0,1,0,0,0,0,0,0,0,7,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1,0,0,0,3,2,1,0,1,2,6,46,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,97.6,12.0,-0.9510833333333332,1.3481,0.53,4.395
17,0,0,1,0,0,0,2,2,1,0,1,2,6,46,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,82.3,14.0,0.851125,-0.6614333333333332,1.094,1.103
18,0,1,0,0,0,0,1,2,1,0,1,2,6,46,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,96.7,12.0,-1.4186833333333333,1.5502,1.215,3.985
19,0,0,1,0,0,0,0,2,1,0,1,2,6,46,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,95.8,1.0,-1.0652,1.6677333333333333,-0.361,3.654
20,0,0,1,0,0,0,0,1,1,0,1,2,6,46,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,96.3,2.0,-1.2600333333333331,1.5917666666666668,0.09,3.535
21,0,0,1,0,0,0,0,0,1,0,1,2,6,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,1,0,0,0,0,1,2,1,0,0,1,6,44,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,97.3,12.0,-1.2516833333333333,1.7723666666666669,0.05,4.018
23,0,0,1,0,0,0,1,2,1,0,0,1,6,44,6,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,96.7,2.0,-1.446516666666667,1.5172333333333332,-0.275,3.524
24,0,0,1,0,0,0,1,2,1,0,0,1,6,44,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,92.4,14.0,-0.4375583333333333,1.2406,0.923,1.8
25,0,0,1,0,0,0,1,2,1,0,0,1,6,44,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,92.5,14.0,-0.1620083333333333,1.662,2.098,1.164
26,0,0,0,1,0,0,0,2,1,0,0,1,6,44,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,96.0,2.0,-1.1250416666666665,1.7666333333333333,-0.227,3.915
